x1;y1;z1;x2;y2;z2;s;t
0;0;0;10;0;0;3,000000;1;2
0;0;0;0;10;0;3,000000;1;4
0;0;0;10;10;0;3,000000;1;5
0;0;0;0;0;10;3,000000;1;10
0;0;0;10;0;10;3,000000;1;11
0;0;0;0;10;10;3,000000;1;13
0;0;0;10;10;10;3,000000;1;14
10;0;0;20;0;0;3,000000;2;3
10;0;0;0;10;0;3,000000;2;4
10;0;0;10;10;0;3,000000;2;5
10;0;0;20;10;0;3,000000;2;6
10;0;0;0;0;10;3,000000;2;10
10;0;0;10;0;10;3,000000;2;11
10;0;0;20;0;10;3,000000;2;12
10;0;0;0;10;10;3,000000;2;13
10;0;0;10;10;10;3,000000;2;14
10;0;0;20;10;10;3,000000;2;15
20;0;0;10;10;0;3,000000;3;5
20;0;0;20;10;0;3,000000;3;6
20;0;0;10;0;10;3,000000;3;11
20;0;0;20;0;10;3,000000;3;12
20;0;0;10;10;10;3,000000;3;14
20;0;0;20;10;10;3,000000;3;15
0;10;0;10;10;0;3,000000;4;5
0;10;0;0;20;0;3,000000;4;7
0;10;0;10;20;0;3,000000;4;8
0;10;0;0;0;10;3,000000;4;10
0;10;0;10;0;10;3,000000;4;11
0;10;0;0;10;10;3,000000;4;13
0;10;0;10;10;10;3,000000;4;14
0;10;0;0;20;10;3,000000;4;16
0;10;0;10;20;10;3,000000;4;17
10;10;0;20;10;0;3,000000;5;6
10;10;0;0;20;0;3,000000;5;7
10;10;0;10;20;0;3,000000;5;8
10;10;0;20;20;0;3,000000;5;9
10;10;0;0;0;10;3,000000;5;10
10;10;0;10;0;10;3,000000;5;11
10;10;0;20;0;10;3,000000;5;12
10;10;0;0;10;10;3,000000;5;13
10;10;0;10;10;10;3,000000;5;14
10;10;0;20;10;10;3,000000;5;15
10;10;0;0;20;10;3,000000;5;16
10;10;0;10;20;10;3,000000;5;17
10;10;0;20;20;10;3,000000;5;18
20;10;0;10;20;0;3,000000;6;8
20;10;0;20;20;0;3,000000;6;9
20;10;0;10;0;10;3,000000;6;11
20;10;0;20;0;10;3,000000;6;12
20;10;0;10;10;10;3,000000;6;14
20;10;0;20;10;10;3,000000;6;15
20;10;0;10;20;10;3,000000;6;17
20;10;0;20;20;10;3,000000;6;18
0;20;0;10;20;0;3,000000;7;8
0;20;0;0;10;10;3,000000;7;13
0;20;0;10;10;10;3,000000;7;14
0;20;0;0;20;10;3,000000;7;16
0;20;0;10;20;10;3,000000;7;17
10;20;0;20;20;0;3,000000;8;9
10;20;0;0;10;10;3,000000;8;13
10;20;0;10;10;10;3,000000;8;14
10;20;0;20;10;10;3,000000;8;15
10;20;0;0;20;10;3,000000;8;16
10;20;0;10;20;10;3,000000;8;17
10;20;0;20;20;10;3,000000;8;18
20;20;0;10;10;10;3,000000;9;14
20;20;0;20;10;10;3,000000;9;15
20;20;0;10;20;10;3,000000;9;17
20;20;0;20;20;10;3,000000;9;18
0;0;10;10;0;10;3,000000;10;11
0;0;10;0;10;10;3,000000;10;13
0;0;10;10;10;10;3,000000;10;14
0;0;10;0;0;20;3,000000;10;19
0;0;10;10;0;20;3,000000;10;20
0;0;10;0;10;20;3,000000;10;22
0;0;10;10;10;20;3,000000;10;23
10;0;10;20;0;10;3,000000;11;12
10;0;10;0;10;10;3,000000;11;13
10;0;10;10;10;10;3,000000;11;14
10;0;10;20;10;10;3,000000;11;15
10;0;10;0;0;20;3,000000;11;19
10;0;10;10;0;20;3,000000;11;20
10;0;10;20;0;20;3,000000;11;21
10;0;10;0;10;20;3,000000;11;22
10;0;10;10;10;20;3,000000;11;23
10;0;10;20;10;20;3,000000;11;24
20;0;10;10;10;10;3,000000;12;14
20;0;10;20;10;10;3,000000;12;15
20;0;10;10;0;20;3,000000;12;20
20;0;10;20;0;20;3,000000;12;21
20;0;10;10;10;20;3,000000;12;23
20;0;10;20;10;20;3,000000;12;24
0;10;10;10;10;10;3,000000;13;14
0;10;10;0;20;10;3,000000;13;16
0;10;10;10;20;10;3,000000;13;17
0;10;10;0;0;20;3,000000;13;19
0;10;10;10;0;20;3,000000;13;20
0;10;10;0;10;20;3,000000;13;22
0;10;10;10;10;20;3,000000;13;23
0;10;10;0;20;20;3,000000;13;25
0;10;10;10;20;20;3,000000;13;26
10;10;10;20;10;10;3,000000;14;15
10;10;10;0;20;10;3,000000;14;16
10;10;10;10;20;10;3,000000;14;17
10;10;10;20;20;10;3,000000;14;18
10;10;10;0;0;20;3,000000;14;19
10;10;10;10;0;20;3,000000;14;20
10;10;10;20;0;20;3,000000;14;21
10;10;10;0;10;20;3,000000;14;22
10;10;10;10;10;20;3,000000;14;23
10;10;10;20;10;20;3,000000;14;24
10;10;10;0;20;20;3,000000;14;25
10;10;10;10;20;20;3,000000;14;26
10;10;10;20;20;20;3,000000;14;27
20;10;10;10;20;10;3,000000;15;17
20;10;10;20;20;10;3,000000;15;18
20;10;10;10;0;20;3,000000;15;20
20;10;10;20;0;20;3,000000;15;21
20;10;10;10;10;20;3,000000;15;23
20;10;10;20;10;20;3,000000;15;24
20;10;10;10;20;20;3,000000;15;26
20;10;10;20;20;20;3,000000;15;27
