30;0;0;60;0;0
30;0;0;0;30;0
30;0;0;30;20;0
30;0;0;60;20;0
30;0;0;30;0;20.3
30;0;0;60;0;20.3
30;0;0;30;20;20.3
30;0;0;10;10;10
30;0;0;30;10;10
60;0;0;90;0;0
60;0;0;30;20;0
60;0;0;60;20;0
60;0;0;90;20;0
60;0;0;30;0;20.3
60;0;0;60;0;20.3
60;0;0;90;0;20.3
60;0;0;60;20;20.3
60;0;0;30;10;10
60;0;0;50;10;10
90;0;0;112.16;8.7;0
90;0;0;60;20;0
90;0;0;90;20;0
90;0;0;60;0;20.3
90;0;0;90;0;20.3
90;0;0;112.16;8.7;20.3
90;0;0;90;20;20.3
90;0;0;50;10;10
90;0;0;70;10;10
112.16;8.7;0;90;20;0
112.16;8.7;0;90;0;20.3
112.16;8.7;0;112.16;8.7;20.3
112.16;8.7;0;70;10;10
0;30;0;30;20;0
0;30;0;0;40;0
0;30;0;30;40;0
0;30;0;0;30;20.3
0;30;0;30;20;20.3
0;30;0;0;40;20.3
0;30;0;10;10;10
0;30;0;10;30;10
30;20;0;60;20;0
30;20;0;0;40;0
30;20;0;30;40;0
30;20;0;60;40;0
30;20;0;30;0;20.3
30;20;0;0;30;20.3
30;20;0;30;20;20.3
30;20;0;60;20;20.3
30;20;0;30;40;20.3
30;20;0;10;10;10
30;20;0;30;10;10
30;20;0;10;30;10
30;20;0;30;30;10
60;20;0;90;20;0
60;20;0;30;40;0
60;20;0;60;40;0
60;20;0;90;40;0
60;20;0;60;0;20.3
60;20;0;30;20;20.3
60;20;0;60;20;20.3
60;20;0;90;20;20.3
60;20;0;60;40;20.3
60;20;0;30;10;10
60;20;0;50;10;10
60;20;0;30;30;10
60;20;0;50;30;10
90;20;0;60;40;0
90;20;0;90;40;0
90;20;0;107;34.88;0
90;20;0;90;0;20.3
90;20;0;60;20;20.3
90;20;0;90;20;20.3
90;20;0;90;40;20.3
90;20;0;50;10;10
90;20;0;70;10;10
90;20;0;50;30;10
90;20;0;70;30;10
0;40;0;30;40;0
0;40;0;0;60;0
0;40;0;30;60;0
0;40;0;0;30;20.3
0;40;0;0;40;20.3
0;40;0;30;40;20.3
0;40;0;0;60;20.3
0;40;0;10;30;10
0;40;0;10;50;10
30;40;0;60;40;0
30;40;0;0;60;0
30;40;0;30;60;0
30;40;0;60;60;0
30;40;0;30;20;20.3
30;40;0;0;40;20.3
30;40;0;30;40;20.3
30;40;0;60;40;20.3
30;40;0;30;60;20.3
30;40;0;10;30;10
30;40;0;30;30;10
30;40;0;10;50;10
30;40;0;30;50;10
60;40;0;90;40;0
60;40;0;30;60;0
60;40;0;60;60;0
60;40;0;100.3;50.96;0
60;40;0;60;20;20.3
60;40;0;30;40;20.3
60;40;0;60;40;20.3
60;40;0;90;40;20.3
60;40;0;60;60;20.3
60;40;0;30;30;10
60;40;0;50;30;10
60;40;0;30;50;10
60;40;0;50;50;10
90;40;0;107;34.88;0
90;40;0;60;60;0
90;40;0;100.3;50.96;0
90;40;0;90;20;20.3
90;40;0;60;40;20.3
90;40;0;90;40;20.3
90;40;0;107;34.88;20.3
90;40;0;100.3;50.96;20.3
90;40;0;50;30;10
90;40;0;70;30;10
90;40;0;50;50;10
90;40;0;70;50;10
107;34.88;0;100.3;50.96;0
107;34.88;0;90;40;20.3
107;34.88;0;107;34.88;20.3
107;34.88;0;70;30;10
107;34.88;0;70;50;10
0;60;0;30;60;0
0;60;0;0;80;0
0;60;0;30;80;0
0;60;0;0;40;20.3
0;60;0;0;60;20.3
0;60;0;30;60;20.3
0;60;0;0;80;20.3
0;60;0;10;50;10
0;60;0;10;70;10
30;60;0;60;60;0
30;60;0;0;80;0
30;60;0;30;80;0
30;60;0;73.16;85.46;0
30;60;0;30;40;20.3
30;60;0;0;60;20.3
30;60;0;30;60;20.3
30;60;0;60;60;20.3
30;60;0;30;80;20.3
30;60;0;10;50;10
30;60;0;30;50;10
30;60;0;10;70;10
30;60;0;30;70;10
60;60;0;100.3;50.96;0
60;60;0;30;80;0
60;60;0;73.16;85.46;0
60;60;0;85.46;73.16;0
60;60;0;60;40;20.3
