x1;y1;z1;x2;y2;z2;s;t
0;0;0;10;0;0;1;2
0;0;0;0;10;0;1;5
0;0;0;10;10;0;1;6
0;0;0;0;0;10;1;17
0;0;0;10;0;10;1;18
0;0;0;0;10;10;1;21
0;0;0;10;10;10;1;22
10;0;0;20;0;0;2;3
10;0;0;0;10;0;2;5
10;0;0;10;10;0;2;6
10;0;0;20;10;0;2;7
10;0;0;0;0;10;2;17
10;0;0;10;0;10;2;18
10;0;0;20;0;10;2;19
10;0;0;0;10;10;2;21
10;0;0;10;10;10;2;22
10;0;0;20;10;10;2;23
20;0;0;30;0;0;3;4
20;0;0;10;10;0;3;6
20;0;0;20;10;0;3;7
20;0;0;30;10;0;3;8
20;0;0;10;0;10;3;18
20;0;0;20;0;10;3;19
20;0;0;30;0;10;3;20
20;0;0;10;10;10;3;22
20;0;0;20;10;10;3;23
20;0;0;30;10;10;3;24
30;0;0;20;10;0;4;7
30;0;0;30;10;0;4;8
30;0;0;20;0;10;4;19
30;0;0;30;0;10;4;20
30;0;0;20;10;10;4;23
30;0;0;30;10;10;4;24
0;10;0;10;10;0;5;6
0;10;0;0;20;0;5;9
0;10;0;10;20;0;5;10
0;10;0;0;0;10;5;17
0;10;0;10;0;10;5;18
0;10;0;0;10;10;5;21
0;10;0;10;10;10;5;22
0;10;0;0;20;10;5;25
0;10;0;10;20;10;5;26
10;10;0;20;10;0;6;7
10;10;0;0;20;0;6;9
10;10;0;10;20;0;6;10
10;10;0;20;20;0;6;11
10;10;0;0;0;10;6;17
10;10;0;10;0;10;6;18
10;10;0;20;0;10;6;19
10;10;0;0;10;10;6;21
10;10;0;10;10;10;6;22
10;10;0;20;10;10;6;23
10;10;0;0;20;10;6;25
10;10;0;10;20;10;6;26
10;10;0;20;20;10;6;27
20;10;0;30;10;0;7;8
20;10;0;10;20;0;7;10
20;10;0;20;20;0;7;11
20;10;0;30;20;0;7;12
20;10;0;10;0;10;7;18
20;10;0;20;0;10;7;19
20;10;0;30;0;10;7;20
20;10;0;10;10;10;7;22
20;10;0;20;10;10;7;23
20;10;0;30;10;10;7;24
20;10;0;10;20;10;7;26
20;10;0;20;20;10;7;27
20;10;0;30;20;10;7;28
30;10;0;20;20;0;8;11
30;10;0;30;20;0;8;12
30;10;0;20;0;10;8;19
30;10;0;30;0;10;8;20
30;10;0;20;10;10;8;23
30;10;0;30;10;10;8;24
30;10;0;20;20;10;8;27
30;10;0;30;20;10;8;28
0;20;0;10;20;0;9;10
0;20;0;0;30;0;9;13
0;20;0;10;30;0;9;14
0;20;0;0;10;10;9;21
0;20;0;10;10;10;9;22
0;20;0;0;20;10;9;25
0;20;0;10;20;10;9;26
0;20;0;0;30;10;9;29
0;20;0;10;30;10;9;30
10;20;0;20;20;0;10;11
10;20;0;0;30;0;10;13
10;20;0;10;30;0;10;14
10;20;0;20;30;0;10;15
10;20;0;0;10;10;10;21
10;20;0;10;10;10;10;22
10;20;0;20;10;10;10;23
10;20;0;0;20;10;10;25
10;20;0;10;20;10;10;26
10;20;0;20;20;10;10;27
10;20;0;0;30;10;10;29
10;20;0;10;30;10;10;30
10;20;0;20;30;10;10;31
20;20;0;30;20;0;11;12
20;20;0;10;30;0;11;14
20;20;0;20;30;0;11;15
20;20;0;30;30;0;11;16
20;20;0;10;10;10;11;22
20;20;0;20;10;10;11;23
20;20;0;30;10;10;11;24
20;20;0;10;20;10;11;26
20;20;0;20;20;10;11;27
20;20;0;30;20;10;11;28
20;20;0;10;30;10;11;30
20;20;0;20;30;10;11;31
20;20;0;30;30;10;11;32
30;20;0;20;30;0;12;15
30;20;0;30;30;0;12;16
30;20;0;20;10;10;12;23
30;20;0;30;10;10;12;24
30;20;0;20;20;10;12;27
30;20;0;30;20;10;12;28
30;20;0;20;30;10;12;31
30;20;0;30;30;10;12;32
0;30;0;10;30;0;13;14
0;30;0;0;20;10;13;25
0;30;0;10;20;10;13;26
0;30;0;0;30;10;13;29
0;30;0;10;30;10;13;30
10;30;0;20;30;0;14;15
10;30;0;0;20;10;14;25
10;30;0;10;20;10;14;26
10;30;0;20;20;10;14;27
10;30;0;0;30;10;14;29
10;30;0;10;30;10;14;30
10;30;0;20;30;10;14;31
20;30;0;30;30;0;15;16
20;30;0;10;20;10;15;26
20;30;0;20;20;10;15;27
20;30;0;30;20;10;15;28
20;30;0;10;30;10;15;30
20;30;0;20;30;10;15;31
20;30;0;30;30;10;15;32
30;30;0;20;20;10;16;27
30;30;0;30;20;10;16;28
30;30;0;20;30;10;16;31
30;30;0;30;30;10;16;32
0;0;10;10;0;10;17;18
0;0;10;0;10;10;17;21
0;0;10;10;10;10;17;22
0;0;10;0;0;20;17;33
0;0;10;10;0;20;17;34
0;0;10;0;10;20;17;37
0;0;10;10;10;20;17;38
10;0;10;20;0;10;18;19
10;0;10;0;10;10;18;21
10;0;10;10;10;10;18;22
10;0;10;20;10;10;18;23
10;0;10;0;0;20;18;33
10;0;10;10;0;20;18;34
10;0;10;20;0;20;18;35
10;0;10;0;10;20;18;37
10;0;10;10;10;20;18;38
10;0;10;20;10;20;18;39
20;0;10;30;0;10;19;20
20;0;10;10;10;10;19;22
20;0;10;20;10;10;19;23
20;0;10;30;10;10;19;24
20;0;10;10;0;20;19;34
20;0;10;20;0;20;19;35
20;0;10;30;0;20;19;36
20;0;10;10;10;20;19;38
20;0;10;20;10;20;19;39
20;0;10;30;10;20;19;40
30;0;10;20;10;10;20;23
30;0;10;30;10;10;20;24
30;0;10;20;0;20;20;35
30;0;10;30;0;20;20;36
30;0;10;20;10;20;20;39
30;0;10;30;10;20;20;40
0;10;10;10;10;10;21;22
0;10;10;0;20;10;21;25
0;10;10;10;20;10;21;26
0;10;10;0;0;20;21;33
0;10;10;10;0;20;21;34
0;10;10;0;10;20;21;37
0;10;10;10;10;20;21;38
0;10;10;0;20;20;21;41
0;10;10;10;20;20;21;42
10;10;10;20;10;10;22;23
10;10;10;0;20;10;22;25
10;10;10;10;20;10;22;26
10;10;10;20;20;10;22;27
10;10;10;0;0;20;22;33
10;10;10;10;0;20;22;34
10;10;10;20;0;20;22;35
10;10;10;0;10;20;22;37
10;10;10;10;10;20;22;38
10;10;10;20;10;20;22;39
10;10;10;0;20;20;22;41
10;10;10;10;20;20;22;42
10;10;10;20;20;20;22;43
20;10;10;30;10;10;23;24
20;10;10;10;20;10;23;26
20;10;10;20;20;10;23;27
20;10;10;30;20;10;23;28
20;10;10;10;0;20;23;34
20;10;10;20;0;20;23;35
20;10;10;30;0;20;23;36
20;10;10;10;10;20;23;38
20;10;10;20;10;20;23;39
20;10;10;30;10;20;23;40
20;10;10;10;20;20;23;42
20;10;10;20;20;20;23;43
20;10;10;30;20;20;23;44
30;10;10;20;20;10;24;27
30;10;10;30;20;10;24;28
30;10;10;20;0;20;24;35
30;10;10;30;0;20;24;36
30;10;10;20;10;20;24;39
30;10;10;30;10;20;24;40
30;10;10;20;20;20;24;43
30;10;10;30;20;20;24;44
0;20;10;10;20;10;25;26
0;20;10;0;30;10;25;29
0;20;10;10;30;10;25;30
0;20;10;0;10;20;25;37
0;20;10;10;10;20;25;38
0;20;10;0;20;20;25;41
0;20;10;10;20;20;25;42
0;20;10;0;30;20;25;45
0;20;10;10;30;20;25;46
10;20;10;20;20;10;26;27
10;20;10;0;30;10;26;29
10;20;10;10;30;10;26;30
10;20;10;20;30;10;26;31
10;20;10;0;10;20;26;37
10;20;10;10;10;20;26;38
10;20;10;20;10;20;26;39
10;20;10;0;20;20;26;41
10;20;10;10;20;20;26;42
10;20;10;20;20;20;26;43
10;20;10;0;30;20;26;45
10;20;10;10;30;20;26;46
10;20;10;20;30;20;26;47
20;20;10;30;20;10;27;28
20;20;10;10;30;10;27;30
20;20;10;20;30;10;27;31
20;20;10;30;30;10;27;32
20;20;10;10;10;20;27;38
20;20;10;20;10;20;27;39
20;20;10;30;10;20;27;40
20;20;10;10;20;20;27;42
20;20;10;20;20;20;27;43
20;20;10;30;20;20;27;44
20;20;10;10;30;20;27;46
20;20;10;20;30;20;27;47
20;20;10;30;30;20;27;48
30;20;10;20;30;10;28;31
30;20;10;30;30;10;28;32
30;20;10;20;10;20;28;39
30;20;10;30;10;20;28;40
30;20;10;20;20;20;28;43
30;20;10;30;20;20;28;44
30;20;10;20;30;20;28;47
30;20;10;30;30;20;28;48
0;30;10;10;30;10;29;30
0;30;10;0;20;20;29;41
0;30;10;10;20;20;29;42
0;30;10;0;30;20;29;45
0;30;10;10;30;20;29;46
10;30;10;20;30;10;30;31
10;30;10;0;20;20;30;41
10;30;10;10;20;20;30;42
10;30;10;20;20;20;30;43
10;30;10;0;30;20;30;45
10;30;10;10;30;20;30;46
10;30;10;20;30;20;30;47
20;30;10;30;30;10;31;32
20;30;10;10;20;20;31;42
20;30;10;20;20;20;31;43
20;30;10;30;20;20;31;44
20;30;10;10;30;20;31;46
20;30;10;20;30;20;31;47
20;30;10;30;30;20;31;48
30;30;10;20;20;20;32;43
30;30;10;30;20;20;32;44
30;30;10;20;30;20;32;47
30;30;10;30;30;20;32;48
0;0;20;10;0;20;33;34
0;0;20;0;10;20;33;37
0;0;20;10;10;20;33;38
0;0;20;0;0;30;33;49
0;0;20;10;0;30;33;50
0;0;20;0;10;30;33;53
0;0;20;10;10;30;33;54
10;0;20;20;0;20;34;35
10;0;20;0;10;20;34;37
10;0;20;10;10;20;34;38
10;0;20;20;10;20;34;39
10;0;20;0;0;30;34;49
10;0;20;10;0;30;34;50
10;0;20;20;0;30;34;51
10;0;20;0;10;30;34;53
10;0;20;10;10;30;34;54
10;0;20;20;10;30;34;55
20;0;20;30;0;20;35;36
20;0;20;10;10;20;35;38
20;0;20;20;10;20;35;39
20;0;20;30;10;20;35;40
20;0;20;10;0;30;35;50
20;0;20;20;0;30;35;51
20;0;20;30;0;30;35;52
20;0;20;10;10;30;35;54
20;0;20;20;10;30;35;55
20;0;20;30;10;30;35;56
30;0;20;20;10;20;36;39
30;0;20;30;10;20;36;40
30;0;20;20;0;30;36;51
30;0;20;30;0;30;36;52
30;0;20;20;10;30;36;55
30;0;20;30;10;30;36;56
0;10;20;10;10;20;37;38
0;10;20;0;20;20;37;41
0;10;20;10;20;20;37;42
0;10;20;0;0;30;37;49
0;10;20;10;0;30;37;50
0;10;20;0;10;30;37;53
0;10;20;10;10;30;37;54
0;10;20;0;20;30;37;57
0;10;20;10;20;30;37;58
10;10;20;20;10;20;38;39
10;10;20;0;20;20;38;41
10;10;20;10;20;20;38;42
10;10;20;20;20;20;38;43
10;10;20;0;0;30;38;49
10;10;20;10;0;30;38;50
10;10;20;20;0;30;38;51
10;10;20;0;10;30;38;53
10;10;20;10;10;30;38;54
10;10;20;20;10;30;38;55
10;10;20;0;20;30;38;57
10;10;20;10;20;30;38;58
10;10;20;20;20;30;38;59
20;10;20;30;10;20;39;40
20;10;20;10;20;20;39;42
20;10;20;20;20;20;39;43
20;10;20;30;20;20;39;44
20;10;20;10;0;30;39;50
20;10;20;20;0;30;39;51
20;10;20;30;0;30;39;52
20;10;20;10;10;30;39;54
20;10;20;20;10;30;39;55
20;10;20;30;10;30;39;56
20;10;20;10;20;30;39;58
20;10;20;20;20;30;39;59
20;10;20;30;20;30;39;60
30;10;20;20;20;20;40;43
30;10;20;30;20;20;40;44
30;10;20;20;0;30;40;51
30;10;20;30;0;30;40;52
30;10;20;20;10;30;40;55
30;10;20;30;10;30;40;56
30;10;20;20;20;30;40;59
30;10;20;30;20;30;40;60
